BioSample,sample_name,SRS,fastq,river,replicate,primer,latitude,longitude
SAMN44358394,1_ARG2_NEG_Tele02,SRS22957678,SRR31057121,ARGENTINA,neg,Tele02,43.97906414,7.795662644
SAMN44358400,7_ARG2_Csx_Tele02,SRS22957681,SRR31057115,ARGENTINA,r1,Tele02,43.97906414,7.795662644
SAMN44358399,6_ARG2_Cdx_Tele02,SRS22957680,SRR31057116,ARGENTINA,r2,Tele02,43.97906414,7.795662644
SAMN44358398,5_ARG2_Bsx_Tele02,SRS22957679,SRR31057117,ARGENTINA,r3,Tele02,43.97906414,7.795662644
SAMN44358397,4_ARG2_Bdx_Tele02,SRS22957677,SRR31057118,ARGENTINA,r4,Tele02,43.97906414,7.795662644
SAMN44358396,3_ARG2_Asx_Tele02,SRS22957675,SRR31057119,ARGENTINA,r5,Tele02,43.97906414,7.795662644
SAMN44358395,2_ARG2_Adx_Tele02,SRS22957673,SRR31057120,ARGENTINA,r6,Tele02,43.97906414,7.795662644
SAMN44358422,36_BEV1_NEG_Tele02,SRS22957708,SRR31057090,BEVERA,neg,Tele02,43.86558284,7.523820261
SAMN44358428,42_BEV1_Csx_Tele02,SRS22957712,SRR31057084,BEVERA,r1,Tele02,43.86558284,7.523820261
SAMN44358427,41_BEV1_Cdx_Tele02,SRS22957713,SRR31057085,BEVERA,r2,Tele02,43.86558284,7.523820261
SAMN44358426,40_BEV1_Bsx_Tele02,SRS22957710,SRR31057086,BEVERA,r3,Tele02,43.86558284,7.523820261
SAMN44358425,39_BEV1_Bdx_Tele02,SRS22957709,SRR31057087,BEVERA,r4,Tele02,43.86558284,7.523820261
SAMN44358424,38_BEV1_Asx_Tele02,SRS22957706,SRR31057088,BEVERA,r5,Tele02,43.86558284,7.523820261
SAMN44358423,37_BEV1_Adx_Tele02,SRS22957705,SRR31057089,BEVERA,r6,Tele02,43.86558284,7.523820261
SAMN44358415,29_CAR_NEG_Tele02,SRS22957696,SRR31057098,CARPASINA,neg,Tele02,43.94761648,7.863408403
SAMN44358421,35_CAR_Csx_Tele02,SRS22957707,SRR31057091,CARPASINA,r1,Tele02,43.94761648,7.863408403
SAMN44358420,34_CAR_Cdx_Tele02,SRS22957703,SRR31057093,CARPASINA,r2,Tele02,43.94761648,7.863408403
SAMN44358419,33_CAR_Asx_Tele02,SRS22957701,SRR31057094,CARPASINA,r3,Tele02,43.94761648,7.863408403
SAMN44358418,32_CAR_Adx_Tele02,SRS22957698,SRR31057095,CARPASINA,r4,Tele02,43.94761648,7.863408403
SAMN44358417,31_CAR_Bsx_Tele02,SRS22957702,SRR31057096,CARPASINA,r5,Tele02,43.94761648,7.863408403
SAMN44358416,30_CAR_Bdx_Tele02,SRS22957700,SRR31057097,CARPASINA,r6,Tele02,43.94761648,7.863408403
SAMN44358436,Mock_Tele02,SRS22957721,SRR31057075,NA,PCR_neg,Tele02,NA,NA
SAMN44358437,BlnkpPCR_Tele02,SRS22957722,SRR31057074,NA,PCR_pos,Tele02,NA,NA
SAMN44358429,50_NER2_NEG_Tele02,SRS22957711,SRR31057083,NERVIA,neg,Tele02,43.93151276,7.664750728
SAMN44358435,56_NER2_Csx_Tele02,SRS22957720,SRR31057076,NERVIA,r1,Tele02,43.93151276,7.664750728
SAMN44358434,55_NER2_Cdx_Tele02,SRS22957719,SRR31057077,NERVIA,r2,Tele02,43.93151276,7.664750728
SAMN44358433,54_NER2_Bsx_Tele02,SRS22957717,SRR31057078,NERVIA,r3,Tele02,43.93151276,7.664750728
SAMN44358432,53_NER2_Bdx_Tele02,SRS22957718,SRR31057079,NERVIA,r4,Tele02,43.93151276,7.664750728
SAMN44358431,52_NER2_Asx_Tele02,SRS22957716,SRR31057080,NERVIA,r5,Tele02,43.93151276,7.664750728
