"OTU_ID","SRR31057098","SRR31057091","SRR31057093","SRR31057094","SRR31057095","SRR31057096","SRR31057097"
"Acipenseridae_Acipenser_unknown-otu-18-1337",0,0,0,0,0,0,0
"Acipenseridae_unknown_unknown-otu-81-21",0,0,0,0,0,0,0
"Anatidae_unknown_unknown-otu-13-4602",0,0,0,0,0,0,0
"Anguillidae_Anguilla_unknown-otu-8-13816",0,0,0,0,0,0,0
"Ardeidae_Ardea_cinerea-otu-70-32",0,0,0,0,0,0,0
"Blenniidae_Salariopsis_fluviatilis-otu-40-280",0,0,0,0,0,0,0
"Bovidae_unknown_unknown-otu-24-605",0,0,0,0,0,333,0
"Canidae_Canis_lupus-otu-10-10284",0,0,211,0,67,0,0
"Cercopithecidae_unknown_unknown-otu-20-925",0,0,0,0,35,0,105
"Cervidae_Cervus_elaphus-otu-72-31",0,0,0,0,0,0,0
"Cottidae_unknown_unknown-otu-12-4650",0,0,0,0,0,0,0
"Cyprinidae_Barbus_caninus-otu-29-481",0,0,0,0,0,0,0
"Cyprinidae_Barbus_meridionalis-otu-3-74755",0,0,0,0,0,0,0
"Cyprinidae_Barbus_plebejus-otu-11-8956",0,0,0,0,0,0,0
"Fringillidae_unknown_unknown-otu-31-456",0,0,447,0,0,0,0
"Gliridae_Glis_glis-otu-26-567",0,21,77,0,231,219,231
"Gobiidae_Neogobius_nigricans-otu-69-33",0,0,0,0,48,0,0
"Hominidae_unknown_unknown-otu-22-863",0,120,0,0,75,0,0
"Leuciscidae_Phoxinus_unknown-otu-4-54096",0,0,0,0,0,0,0
"Leuciscidae_Sarmarutilus_rubilio-otu-79-22",0,0,0,0,31,0,0
"Leuciscidae_Squalius_unknown-otu-6-28950",0,0,0,0,0,0,0
"Leuciscidae_Telestes_muticellus-otu-2-277599",0,2850,1558,4319,4725,12120,4528
"Leuciscidae_Telestes_unknown-otu-68-35",0,0,0,0,4,1,2
"Leuciscidae_unknown_unknown-otu-65-37",0,0,0,0,0,0,0
"Muridae_Apodemus_sylvaticus-otu-48-118",0,0,0,0,0,0,0
"Muridae_Mus_musculus-otu-51-85",0,0,0,0,0,0,0
"Muridae_Rattus_rattus-otu-28-542",0,0,0,0,0,0,83
"Phasianidae_unknown_unknown-otu-47-126",0,0,0,0,0,0,0
"Salmonidae_Salmo_unknown-otu-5-45197",0,4101,4706,5391,7232,12134,6041
"Soricidae_Neomys_anomalus-otu-54-71",0,0,0,0,100,0,0
"Soricidae_Neomys_fodiens-otu-45-157",0,0,0,0,0,0,0
"Suidae_Sus_scrofa-otu-17-1562",0,0,347,0,170,0,0
"Turdidae_Turdus_philomelos-otu-39-313",0,0,0,0,0,335,0
"Turdidae_unknown_unknown-otu-37-338",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-100-13",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-102-12",0,0,0,0,20,0,0
"unknown_unknown_unknown-otu-103-12",0,0,0,0,0,13,0
"unknown_unknown_unknown-otu-105-11",0,0,0,0,0,19,0
"unknown_unknown_unknown-otu-106-11",0,0,0,0,0,41,0
"unknown_unknown_unknown-otu-107-10",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-108-10",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-109-10",0,0,0,0,0,12,0
"unknown_unknown_unknown-otu-14-3239",0,2,0,0,6,0,2
"unknown_unknown_unknown-otu-15-2504",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-16-1850",0,0,0,0,58,0,0
"unknown_unknown_unknown-otu-21-909",0,0,0,0,3,0,0
"unknown_unknown_unknown-otu-23-774",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-25-578",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-27-563",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-30-457",0,147,0,0,0,300,0
"unknown_unknown_unknown-otu-32-434",0,0,398,0,0,0,0
"unknown_unknown_unknown-otu-33-406",0,46,0,0,0,0,0
"unknown_unknown_unknown-otu-34-386",0,69,0,0,60,0,0
"unknown_unknown_unknown-otu-35-356",0,0,0,0,71,0,0
"unknown_unknown_unknown-otu-36-355",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-38-315",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-41-275",0,0,0,0,143,0,0
"unknown_unknown_unknown-otu-42-207",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-44-167",0,0,0,0,67,0,0
"unknown_unknown_unknown-otu-46-134",0,13,0,0,0,133,0
"unknown_unknown_unknown-otu-49-109",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-50-90",0,0,0,33,15,163,36
"unknown_unknown_unknown-otu-53-72",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-56-68",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-57-56",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-59-45",0,0,0,0,30,82,0
"unknown_unknown_unknown-otu-61-44",0,0,0,0,0,52,0
"unknown_unknown_unknown-otu-62-42",0,6,16,0,16,75,0
"unknown_unknown_unknown-otu-63-39",0,0,0,16,10,0,0
"unknown_unknown_unknown-otu-64-39",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-66-36",0,0,0,0,0,95,0
"unknown_unknown_unknown-otu-67-35",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-7-18347",0,33,0,0,0,0,0
"unknown_unknown_unknown-otu-71-32",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-73-31",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-74-28",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-75-27",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-76-27",0,0,0,39,3,0,0
"unknown_unknown_unknown-otu-77-26",0,0,0,0,0,33,0
"unknown_unknown_unknown-otu-78-24",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-80-22",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-82-21",0,3,0,0,0,36,0
"unknown_unknown_unknown-otu-83-20",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-84-19",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-85-19",0,0,29,0,0,0,0
"unknown_unknown_unknown-otu-86-19",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-87-19",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-89-17",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-90-17",0,0,0,0,0,28,0
"unknown_unknown_unknown-otu-91-16",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-92-16",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-93-15",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-94-15",0,0,0,0,23,0,0
"unknown_unknown_unknown-otu-95-14",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-96-14",0,0,0,0,0,17,0
"unknown_unknown_unknown-otu-98-13",0,0,0,0,18,0,0
"unknown_unknown_unknown-otu-99-13",0,0,0,0,0,29,0
"Ursidae_unknown_unknown-otu-104-11",0,0,0,0,0,0,0
"Ursidae_Ursus_unknown-otu-9-12249",0,0,0,0,0,0,0
"Vespertilionidae_Myotis_daubentonii-otu-101-13",0,0,0,0,0,0,0
