,SRR31057074,SRR31057075,SRR31057076,SRR31057077,SRR31057078,SRR31057079,SRR31057080,SRR31057082,SRR31057083,SRR31057084,SRR31057085,SRR31057086,SRR31057087,SRR31057088,SRR31057089,SRR31057090,SRR31057091,SRR31057093,SRR31057094,SRR31057095,SRR31057096,SRR31057097,SRR31057098,SRR31057099,SRR31057100,SRR31057101,SRR31057102,SRR31057104,SRR31057105,SRR31057106,SRR31057107,SRR31057108,SRR31057109,SRR31057110,SRR31057111,SRR31057112,SRR31057113,SRR31057115,SRR31057116,SRR31057117,SRR31057118,SRR31057119,SRR31057120,SRR31057121
Acipenseridae_Acipenser_unknown-otu-18-1337,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acipenseridae_unknown_unknown-otu-81-21,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatidae_unknown_unknown-otu-13-4602,0,0,0,0,0,0,0,0,0,51,0,0,0,137,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,273,4676,0,0,0,0,0,0,0,0,0
Anguillidae_Anguilla_unknown-otu-8-13816,0,0,0,10834,0,622,828,0,0,258,110,148,621,156,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,615,0,437,15,291,0,0,0,0,0,279,0,0
Ardeidae_Ardea_cinerea-otu-70-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
Blenniidae_Salariopsis_fluviatilis-otu-40-280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,210,0,0,0,0,0,0,0,0,0,0,0
Bovidae_unknown_unknown-otu-24-605,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canidae_Canis_lupus-otu-10-10284,0,0,0,0,0,0,0,0,0,930,1623,788,3890,3819,1475,0,0,211,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecidae_unknown_unknown-otu-20-925,0,0,202,0,318,302,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,105,0,1315,0,0,0,328,29,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Cervidae_Cervus_elaphus-otu-72-31,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottidae_unknown_unknown-otu-12-4650,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,1799,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprinidae_Barbus_caninus-otu-29-481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,291,196,0
