"OTU_ID","SRR31057159","SRR31057103","SRR31057114","SRR31057125","SRR31057136","SRR31057147","SRR31057158"
"Cyprinidae_Barbus_plebejus-otu-3-309819",1,12196,10881,6806,0,15043,12859
"sample",45893,41928,25973,28457,0,52741,40916
"Acipenseridae_unknown_unknown-otu-13-10814",0,0,0,0,0,0,0
"Anatidae_unknown_unknown-otu-15-7902",0,0,0,0,0,0,0
"Anguillidae_Anguilla_unknown-otu-12-14229",0,0,0,0,0,0,0
"Blenniidae_Salariopsis_fluviatilis-otu-70-89",0,0,0,0,0,0,0
"Bombinatoridae_Bombina_variegata-otu-114-14",0,0,0,0,0,0,0
"Bovidae_Bos_unknown-otu-17-3914",0,0,0,0,0,0,0
"Bovidae_Capra_unknown-otu-43-326",0,0,404,0,0,0,0
"Bufonidae_Bufo_unknown-otu-6-138370",0,0,202,0,1,0,0
"Bufonidae_unknown_unknown-otu-80-52",0,0,0,0,0,0,0
"Canidae_Canis_unknown-otu-105-20",0,0,0,0,0,0,0
"Canidae_unknown_unknown-otu-84-41",0,0,0,0,0,0,0
"Cercopithecidae_Macaca_mulatta-otu-29-1053",0,0,0,0,0,0,0
"Cercopithecidae_Macaca_unknown-otu-32-727",0,0,0,0,0,0,0
"Cercopithecidae_unknown_unknown-otu-19-3741",0,0,80,0,6016,0,0
"Cervidae_Cervus_elaphus-otu-39-378",0,0,0,0,0,0,0
"Cervidae_unknown_unknown-otu-27-1134",0,0,0,0,0,0,0
"Cottidae_unknown_unknown-otu-110-17",0,0,0,0,0,0,0
"Cyprinidae_Barbus_caninus-otu-41-340",0,0,0,0,0,3553,1
"Cyprinidae_Barbus_unknown-otu-100-23",0,1,2,3,0,10,3
"Cyprinidae_unknown_unknown-otu-97-26",0,0,0,0,0,0,0
"Felidae_Felis_unknown-otu-96-26",0,0,0,0,0,0,0
"Fringillidae_Fringilla_unknown-otu-34-563",0,0,0,224,0,0,0
"Gliridae_Glis_glis-otu-33-623",0,0,0,0,0,0,0
"Gobiidae_Neogobius_nigricans-otu-45-271",0,0,0,0,0,0,0
"Hominidae_Homo_sapiens-otu-103-20",0,0,0,0,0,0,0
"Hominidae_Homo_unknown-otu-98-26",0,1,3,2,0,6,4
"Hominidae_unknown_unknown-otu-23-2367",0,0,0,0,0,0,0
"Leuciscidae_Phoxinus_unknown-otu-4-227374",0,0,0,0,2,1,0
"Leuciscidae_Rutilus_pigus-otu-59-127",0,0,0,0,0,0,0
"Leuciscidae_Squalius_squalus-otu-5-152686",0,0,2,0,0,1,0
"Leuciscidae_Telestes_unknown-otu-2-338761",0,29685,20249,21073,1,35424,30125
"Molossidae_unknown_unknown-otu-58-128",0,0,0,0,0,153,0
"Muridae_Mus_unknown-otu-30-1010",0,0,0,0,0,0,0
"Muridae_Rattus_unknown-otu-35-531",0,0,0,0,0,0,0
"Phalacrocoracidae_Phalacrocorax_unknown-otu-49-210",0,0,0,0,0,0,0
"Phasianidae_unknown_unknown-otu-85-39",0,0,0,0,0,0,0
"Plethodontidae_Speleomantes_strinatii-otu-42-334",0,0,0,0,0,0,0
"Prunellidae_Prunella_unknown-otu-78-56",0,0,0,0,0,0,0
"Rallidae_Rallus_aquaticus-otu-52-173",0,0,0,0,0,0,0
"Ranidae_Pelophylax_unknown-otu-48-211",0,0,0,0,0,0,0
"Ranidae_Rana_unknown-otu-11-16942",0,0,0,0,3780,0,590
"Salamandridae_Salamandrina_unknown-otu-75-65",0,0,0,0,0,0,0
"Salmonidae_Oncorhynchus_unknown-otu-36-530",0,0,0,0,0,0,0
"Salmonidae_Salmo_unknown-otu-115-14",0,0,0,0,0,0,0
"Salmonidae_unknown_unknown-otu-7-133791",0,0,0,319,1,0,0
"Sylviidae_Sylvia_atricapilla-otu-47-225",0,0,0,0,0,0,0
"Turdidae_unknown_unknown-otu-22-2590",0,0,0,0,0,0,571
"unknown_unknown_unknown-otu-10-49604",0,0,0,0,0,1,0
"unknown_unknown_unknown-otu-104-20",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-107-19",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-108-18",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-111-15",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-112-14",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-116-14",0,0,0,0,0,18,0
"unknown_unknown_unknown-otu-117-13",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-119-13",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-120-12",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-16-4465",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-24-2129",0,238,666,47,263,1080,112
"unknown_unknown_unknown-otu-26-1415",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-28-1058",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-38-396",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-44-302",0,58,1,27,0,164,142
"unknown_unknown_unknown-otu-51-178",0,0,0,0,0,0,260
"unknown_unknown_unknown-otu-54-164",0,0,0,0,0,169,0
"unknown_unknown_unknown-otu-55-160",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-60-126",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-61-122",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-62-117",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-63-111",0,6,0,0,0,23,5
"unknown_unknown_unknown-otu-64-109",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-65-100",0,128,0,0,0,0,0
"unknown_unknown_unknown-otu-67-96",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-68-96",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-76-64",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-77-64",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-81-47",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-86-38",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-87-37",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-90-33",0,0,0,0,0,35,0
"unknown_unknown_unknown-otu-92-32",0,0,0,0,0,0,0
"unknown_unknown_unknown-otu-95-26",0,0,0,0,0,0,0
"Ursidae_Helarctos_unknown-otu-53-165",0,0,0,0,0,0,0
"Ursidae_unknown_unknown-otu-101-21",0,0,0,0,0,0,0
"Ursidae_Ursus_unknown-otu-9-60874",0,0,1,153,0,0,664
