"OTU_ID","SRR31057139","SRR31057132","SRR31057133","SRR31057134","SRR31057135","SRR31057137","SRR31057138"
"Anatidae_unknown_unknown-otu-15-7902",7,185,0,177,446,665,2292
"Anguillidae_Anguilla_unknown-otu-12-14229",3,219,493,830,1126,781,651
"Bufonidae_Bufo_unknown-otu-6-138370",7,23,0,0,537,473,717
"Cyprinidae_Barbus_meridionalis-otu-106-20",43,10684,12204,12658,54116,12225,10372
"Cyprinidae_Barbus_plebejus-otu-3-309819",8,3878,2308,4090,10388,3533,3635
"Leuciscidae_Phoxinus_unknown-otu-4-227374",37,14809,11822,16980,20830,19368,14767
"Leuciscidae_Squalius_squalus-otu-5-152686",18,6067,3589,2416,2177,3335,4671
"Leuciscidae_Telestes_unknown-otu-2-338761",1,489,887,473,980,440,824
"unknown_unknown_unknown-otu-10-49604",11,3185,10169,4106,12633,15632,5184
"Acipenseridae_unknown_unknown-otu-13-10814",0,0,0,0,0,137,0
"Blenniidae_Salariopsis_fluviatilis-otu-70-89",0,0,0,0,0,0,0
"Bombinatoridae_Bombina_variegata-otu-114-14",0,0,0,0,0,0,0
"Bovidae_Bos_unknown-otu-17-3914",0,0,0,0,0,0,0
"Bovidae_Capra_unknown-otu-43-326",0,0,0,0,0,0,0
"Bufonidae_unknown_unknown-otu-80-52",0,0,0,0,0,0,0
"Canidae_Canis_unknown-otu-105-20",0,0,2,93,48,6,1
"Canidae_unknown_unknown-otu-84-41",0,0,6,6,27,11,10
"Cercopithecidae_Macaca_mulatta-otu-29-1053",0,0,0,0,0,0,0
"Cercopithecidae_Macaca_unknown-otu-32-727",0,0,0,0,0,0,0
"Cercopithecidae_unknown_unknown-otu-19-3741",0,0,41,0,33,0,0
"Cervidae_Cervus_elaphus-otu-39-378",0,0,455,0,0,0,0
"Cervidae_unknown_unknown-otu-27-1134",0,0,0,0,21,0,0
"Cottidae_Cottus_unknown-otu-8-91216",0,87,363,0,1389,472,149
"Cottidae_unknown_unknown-otu-110-17",0,0,0,0,0,0,0
"Cyprinidae_Barbus_caninus-otu-41-340",0,0,0,0,0,0,0
"Cyprinidae_Barbus_unknown-otu-100-23",0,36,11,39,256,22,56
"Cyprinidae_unknown_unknown-otu-97-26",0,0,0,5,12,7,0
"Felidae_Felis_unknown-otu-96-26",0,0,0,0,0,0,0
"Fringillidae_Fringilla_unknown-otu-34-563",0,0,0,0,0,0,0
"Gliridae_Glis_glis-otu-33-623",0,0,0,0,0,0,0
"Gobiidae_Neogobius_nigricans-otu-45-271",0,0,0,0,0,0,0
"Hominidae_Homo_sapiens-otu-103-20",0,0,0,0,0,0,0
"Hominidae_Homo_unknown-otu-98-26",0,3,3,3,1,2,1
"Hominidae_unknown_unknown-otu-23-2367",0,0,0,0,0,15,189
"Leuciscidae_Rutilus_pigus-otu-59-127",0,0,0,0,0,0,0
"Molossidae_unknown_unknown-otu-58-128",0,0,0,0,0,0,0
"Muridae_Mus_unknown-otu-30-1010",0,0,0,0,0,0,0
"Muridae_Rattus_unknown-otu-35-531",0,0,0,0,0,0,0
"Phalacrocoracidae_Phalacrocorax_unknown-otu-49-210",0,0,0,0,0,0,0
"Phasianidae_unknown_unknown-otu-85-39",0,0,0,0,0,0,0
"Plethodontidae_Speleomantes_strinatii-otu-42-334",0,0,0,0,0,0,0
"Prunellidae_Prunella_unknown-otu-78-56",0,0,0,0,0,0,0
"Ranidae_Pelophylax_unknown-otu-48-211",0,0,0,0,0,166,49
"Ranidae_Rana_unknown-otu-11-16942",0,0,0,0,0,0,0
"Salamandridae_Salamandrina_unknown-otu-75-65",0,78,0,0,0,0,0
"Salmonidae_Oncorhynchus_unknown-otu-36-530",0,0,0,0,0,0,0
"Salmonidae_Salmo_unknown-otu-115-14",0,2,0,0,0,0,1
"Salmonidae_unknown_unknown-otu-7-133791",0,184,0,344,0,185,198
