,SRR31057072,SRR31057073,SRR31057081,SRR31057092,SRR31057103,SRR31057114,SRR31057122,SRR31057123,SRR31057124,SRR31057125,SRR31057126,SRR31057127,SRR31057128,SRR31057129,SRR31057130,SRR31057131,SRR31057132,SRR31057133,SRR31057134,SRR31057135,SRR31057136,SRR31057137,SRR31057138,SRR31057139,SRR31057140,SRR31057141,SRR31057142,SRR31057143,SRR31057144,SRR31057145,SRR31057146,SRR31057147,SRR31057148,SRR31057149,SRR31057150,SRR31057151,SRR31057152,SRR31057153,SRR31057154,SRR31057155,SRR31057156,SRR31057157,SRR31057158,SRR31057159
Acipenseridae_unknown_unknown-otu-13-10814,0,0,0,0,0,0,2980,9049,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatidae_unknown_unknown-otu-15-7902,328,1838,2527,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,192,481,0,684,2308,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0
Anguillidae_Anguilla_unknown-otu-12-14229,489,0,7205,0,0,0,0,0,0,0,0,0,0,0,0,0,225,499,836,1141,0,789,657,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,359,864,2360,0,0
Blenniidae_Salariopsis_fluviatilis-otu-70-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0
Bombinatoridae_Bombina_variegata-otu-114-14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bovidae_Bos_unknown-otu-17-3914,0,0,0,0,0,0,0,0,0,0,0,0,4441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bovidae_Capra_unknown-otu-43-326,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bufonidae_Bufo_unknown-otu-6-138370,481,401,883,0,0,202,0,3370,0,0,894,382,542,1456,669,0,36,0,1,572,1,492,733,7,517,3657,765,10448,7054,12080,0,0,0,0,3011,7438,36799,35159,4765,0,6036,478,0,0
Bufonidae_unknown_unknown-otu-80-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,17,12,0,0,0,0,0,0
Canidae_Canis_unknown-otu-105-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93,48,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
