"OTU_ID","SRR31057154","SRR31057148","SRR31057149","SRR31057150","SRR31057151","SRR31057152","SRR31057153"
"Bufonidae_Bufo_unknown-otu-6-138370",4765,0,0,0,924,36334,30918
"Leuciscidae_Rutilus_pigus-otu-59-127",54,0,0,0,0,0,0
"sample",24687,0,65040,0,402,43792,37862
"unknown_unknown_unknown-otu-1-516279",7875,0,60869,7218,6886,2896,1475
"Acipenseridae_unknown_unknown-otu-13-10814",0,0,0,0,0,0,0
"Anatidae_unknown_unknown-otu-15-7902",0,0,0,0,0,0,0
"Anguillidae_Anguilla_unknown-otu-12-14229",0,0,0,0,0,0,0
"Blenniidae_Salariopsis_fluviatilis-otu-70-89",0,0,0,0,0,0,0
"Bombinatoridae_Bombina_variegata-otu-114-14",0,0,0,0,0,0,0
"Bovidae_Bos_unknown-otu-17-3914",0,0,0,0,0,0,0
"Bovidae_Capra_unknown-otu-43-326",0,0,0,0,0,0,0
"Bufonidae_unknown_unknown-otu-80-52",0,0,0,0,0,17,12
"Canidae_Canis_unknown-otu-105-20",0,0,0,0,0,0,0
"Canidae_unknown_unknown-otu-84-41",0,0,0,0,0,0,0
"Cercopithecidae_Macaca_mulatta-otu-29-1053",0,0,0,0,0,0,431
"Cercopithecidae_Macaca_unknown-otu-32-727",0,0,376,0,0,0,0
"Cercopithecidae_unknown_unknown-otu-19-3741",0,0,436,0,0,144,556
"Cervidae_Cervus_elaphus-otu-39-378",0,0,0,0,0,0,0
"Cervidae_unknown_unknown-otu-27-1134",0,0,0,0,0,0,0
"Cottidae_unknown_unknown-otu-110-17",0,0,0,0,0,3,5
"Cyprinidae_Barbus_caninus-otu-41-340",0,0,0,0,0,0,0
"Cyprinidae_Barbus_meridionalis-otu-106-20",0,0,0,1,0,1,0
"Cyprinidae_Barbus_plebejus-otu-3-309819",0,2,1,3,0,0,0
"Cyprinidae_Barbus_unknown-otu-100-23",0,0,0,0,0,0,0
"Cyprinidae_unknown_unknown-otu-97-26",0,0,0,0,0,0,0
"Felidae_Felis_unknown-otu-96-26",0,0,0,0,0,0,0
"Fringillidae_Fringilla_unknown-otu-34-563",0,0,0,0,0,0,445
"Gliridae_Glis_glis-otu-33-623",0,0,0,0,0,0,0
"Gobiidae_Neogobius_nigricans-otu-45-271",0,0,0,0,0,0,0
"Hominidae_Homo_sapiens-otu-103-20",0,0,0,0,0,299,0
"Hominidae_Homo_unknown-otu-98-26",0,0,0,0,0,0,0
"Hominidae_unknown_unknown-otu-23-2367",0,0,0,0,0,310,777
"Leuciscidae_Phoxinus_unknown-otu-4-227374",0,0,0,0,1,0,1
"Molossidae_unknown_unknown-otu-58-128",0,0,0,0,0,0,0
"Muridae_Mus_unknown-otu-30-1010",0,0,0,0,0,0,0
